Player,Team,Games,FGM,FGA,FGPercentage,EPM,EPA,FantasyPoints,FantasyPointsPerGame
Harrison Butker,KC,1,4,4,100.0%,4,4,16.0,16.0
Stephen Gostkowski,NE,1,4,4,100.0%,3,3,15.0,15.0
Zane Gonzalez,ARI,1,4,4,100.0%,1,1,13.0,13.0
Wil Lutz,NO,1,3,4,75.0%,3,3,12.0,12.0
Greg Zuerlein,LAR,1,3,4,75.0%,3,3,12.0,12.0
Robbie Gould,SF,1,3,4,75.0%,2,2,11.0,11.0
Cairo Santos,TEN,1,2,2,100.0%,5,5,11.0,11.0
Justin Tucker,BAL,1,1,1,100.0%,8,8,11.0,11.0
Brandon McManus,DEN,1,3,4,75.0%,1,1,10.0,10.0
Dustin Hopkins,WAS,1,2,2,100.0%,3,3,9.0,9.0
Matt Prater,DET,1,2,2,100.0%,3,3,9.0,9.0
Joey Slye,CAR,1,2,3,66.7%,3,3,9.0,9.0
Randy Bullock,CIN,1,2,3,66.7%,2,2,8.0,8.0
Josh Lambo,JAC,1,2,2,100.0%,2,2,8.0,8.0
Daniel Carlson,OAK,1,1,1,100.0%,3,3,6.0,6.0
Jake Elliott,PHI,1,1,1,100.0%,3,3,6.0,6.0
Ty Long,LAC,1,1,1,100.0%,3,3,6.0,6.0
Matt Gay,TB,1,1,1,100.0%,2,2,5.0,5.0
Steve Hauschka,BUF,1,1,1,100.0%,2,2,5.0,5.0
Brett Maher,DAL,1,0,0,0.0%,5,5,5.0,5.0
Aldrick Rosas,NYG,1,1,1,100.0%,2,2,5.0,5.0
Dan Bailey,MIN,1,0,0,0.0%,4,4,4.0,4.0
Mason Crosby,GB,1,1,1,100.0%,1,1,4.0,4.0
Ka'imi Fairbairn,HOU,1,0,0,0.0%,4,4,4.0,4.0
Jason Sanders,MIA,1,1,1,100.0%,1,1,4.0,4.0
Adam Vinatieri,IND,1,1,3,33.3%,1,2,4.0,4.0
Chris Boswell,PIT,1,1,1,100.0%,0,0,3.0,3.0
Jason Myers,SEA,1,0,0,0.0%,3,3,3.0,3.0
Eddy Pineiro,CHI,1,1,1,100.0%,0,0,3.0,3.0
Austin Seibert,CLE,1,0,0,0.0%,1,2,1.0,1.0
Matt Bryant,ATL,1,0,0,0.0%,0,0,0.0,0.0
Kaare Vedvik,NYJ,1,0,1,0.0%,0,1,0.0,0.0
