Player,Team,Games,Targets,Receptions,ReceivingYards,ReceivingTD,FantasyPoints,FantasyPointsPerGame
Evan Engram,NYG,1,14,11,116,1,23.1,23.1
T.J. Hockenson,DET,1,9,6,131,1,22.1,22.1
Mark Andrews,BAL,1,8,8,108,1,20.8,20.8
Delanie Walker,TEN,1,6,5,55,2,20.0,20.0
Vernon Davis,WAS,1,7,4,59,1,13.9,13.9
Austin Hooper,ATL,1,9,9,77,0,12.2,12.2
David Njoku,CLE,1,6,4,37,1,11.7,11.7
Blake Jarwin,DAL,1,3,3,39,1,11.4,11.4
Jimmy Graham,GB,1,6,3,30,1,10.5,10.5
Darren Waller,OAK,1,8,7,70,0,10.5,10.5
Travis Kelce,KC,1,8,3,88,0,10.3,10.3
Tyler Higbee,LAR,1,5,4,20,1,10.0,10.0
George Kittle,SF,1,10,8,54,0,9.4,9.4
Jason Witten,DAL,1,4,3,15,1,9.0,9.0
C.J. Uzomah,CIN,1,5,4,66,0,8.6,8.6
Hunter Henry,LAC,1,5,4,60,0,8.0,8.0
Zach Ertz,PHI,1,7,5,54,0,7.9,7.9
Hayden Hurst,BAL,1,4,3,41,0,5.6,5.6
Greg Olsen,CAR,1,9,4,36,0,5.6,5.6
Tyler Eifert,CIN,1,6,5,27,0,5.2,5.2
O.J. Howard,TB,1,5,4,32,0,5.2,5.2
James O'Shaughnessy,JAC,1,5,4,32,0,5.2,5.2
Vance McDonald,PIT,1,4,2,40,0,5.0,5.0
Jared Cook,NO,1,3,2,37,0,4.7,4.7
Tommy Sweeney,BUF,1,2,2,35,0,4.5,4.5
Nick Boyle,BAL,1,3,3,26,0,4.1,4.1
Mike Gesicki,MIA,1,6,2,31,0,4.1,4.1
Geoff Swaim,JAC,1,4,4,17,0,3.7,3.7
Noah Fant,DEN,1,5,2,29,0,3.4,3.4
Robert Tonyan,GB,1,1,1,28,0,3.3,3.3
Foster Moreau,OAK,1,2,2,20,0,3.0,3.0
Dallas Goedert,PHI,1,3,2,16,0,2.6,2.6
Nick Vannett,SEA,1,2,2,16,0,2.6,2.6
Jack Doyle,IND,1,2,1,20,0,2.5,2.5
Ryan Griffin,NYJ,1,4,3,10,0,2.5,2.5
Marcedes Lewis,GB,1,3,2,14,0,2.4,2.4
Jordan Akins,HOU,1,2,1,17,0,2.2,2.2
Jonnu Smith,TEN,1,1,1,7,0,2.2,2.2
Jesse James,DET,1,1,1,15,0,2.0,2.0
Maxx Williams,ARI,1,1,1,15,0,2.0,2.0
Cameron Brate,TB,1,2,2,8,0,1.8,1.8
Will Dissly,SEA,1,2,1,12,0,1.7,1.7
Eric Ebron,IND,1,3,1,8,0,1.3,1.3
Rhett Ellison,NYG,1,2,1,8,0,1.3,1.3
Jeremy Sprinkle,WAS,1,1,1,8,0,1.3,1.3
Blake Bell,KC,1,1,1,7,0,1.2,1.2
Gerald Everett,LAR,1,1,1,7,0,1.2,1.2
Adam Shaheen,CHI,1,2,1,6,0,1.1,1.1
Charles Clay,ARI,1,1,1,5,0,1.0,1.0
Virgil Green,LAC,1,1,1,4,0,0.9,0.9
