Player,Team,Games,Targets,Receptions,ReceivingYards,ReceivingTD,Attempts,RushingYards,RushingTD,FantasyPoints,FantasyPointsPerGame
Sammy Watkins,KC,1,11,9,198,3,0,0,0,42.3,42.3
Michael Gallup,DAL,1,7,7,158,0,0,0,0,19.3,19.3
John Ross,CIN,1,12,7,158,2,0,0,0,31.3,31.3
DeSean Jackson,PHI,1,10,8,154,2,0,0,0,31.4,31.4
Marquise Brown,BAL,1,5,4,147,2,0,0,0,28.7,28.7
D.J. Chark,JAC,1,4,4,146,1,0,0,0,22.6,22.6
Terry McLaurin,WAS,1,7,5,125,1,0,0,0,21.0,21.0
Keenan Allen,LAC,1,10,8,123,1,0,0,0,22.3,22.3
John Brown,BUF,1,10,7,123,1,0,0,0,21.8,21.8
Michael Thomas,NO,1,13,10,123,0,0,0,0,17.3,17.3
Courtland Sutton,DEN,1,8,7,120,0,0,0,0,15.5,15.5
Larry Fitzgerald,ARI,1,13,8,113,1,0,0,0,21.3,21.3
DeAndre Hopkins,HOU,1,13,8,111,2,0,0,0,27.1,27.1
Amari Cooper,DAL,1,9,6,106,1,0,0,0,19.6,19.6
Tyrell Williams,OAK,1,7,6,105,1,0,0,0,19.5,19.5
Danny Amendola,DET,1,13,7,104,1,0,0,0,19.9,19.9
Allen Robinson,CHI,1,13,7,102,0,0,0,0,13.7,13.7
Ted Ginn Jr.,NO,1,7,7,101,0,0,0,0,13.6,13.6
A.J. Brown,TEN,1,4,3,100,0,0,0,0,11.5,11.5
Jamison Crowder,NYJ,1,17,14,99,0,1,4,0,17.3,17.3
Chris Conley,JAC,1,7,6,97,1,0,0,0,18.7,18.7
Phillip Dorsett,NE,1,4,4,95,2,0,0,0,23.5,23.5
D.K. Metcalf,SEA,1,6,4,89,0,0,0,0,10.9,10.9
T.Y. Hilton,IND,1,9,8,87,2,0,0,0,24.7,24.7
Emmanuel Sanders,DEN,1,7,5,86,1,0,0,0,17.1,17.1
Julian Edelman,NE,1,11,6,83,0,1,8,0,12.1,12.1
JuJu Smith-Schuster,PIT,1,8,6,78,0,0,0,0,10.8,10.8
D.J. Moore,CAR,1,10,7,76,0,0,0,0,11.1,11.1
DeVante Parker,MIA,1,7,3,75,0,0,0,0,9.0,9.0
Cody Latimer,NYG,1,8,3,74,0,0,0,0,8.9,8.9
Josh Gordon,NE,1,4,3,73,1,0,0,0,14.8,14.8
Odell Beckham Jr.,CLE,1,11,7,71,0,0,0,0,10.6,10.6
Robert Woods,LAR,1,13,8,70,0,2,16,0,12.6,12.6
Randall Cobb,DAL,1,5,4,69,1,0,0,0,14.9,14.9
Will Fuller,HOU,1,3,2,69,0,0,0,0,7.9,7.9
Jarvis Landry,CLE,1,7,4,67,0,1,10,0,9.7,9.7
Calvin Ridley,ATL,1,6,4,64,1,0,0,0,14.4,14.4
Tyler Boyd,CIN,1,11,8,60,0,1,3,0,10.3,10.3
Mohamed Sanu,ATL,1,6,5,57,0,0,0,0,8.2,8.2
Marvin Jones,DET,1,4,4,56,0,1,4,0,8.0,8.0
Chris Godwin,TB,1,6,3,53,1,0,0,0,12.8,12.8
Marquez Valdes-Scantling,GB,1,6,4,52,0,1,0,0,7.2,7.2
James Washington,PIT,1,6,2,51,0,0,0,0,6.1,6.1
Alshon Jeffery,PHI,1,6,5,49,1,1,2,1,19.6,19.6
Rashard Higgins,CLE,1,3,2,46,0,0,0,0,5.6,5.6
KeeSean Johnson,ARI,1,10,5,46,0,0,0,0,7.1,7.1
Cooper Kupp,LAR,1,10,7,46,0,0,0,0,8.1,8.1
Tyler Lockett,SEA,1,2,1,44,1,0,0,0,10.9,10.9
Adam Thielen,MIN,1,3,3,43,1,0,0,0,11.8,11.8
Damiere Byrd,ARI,1,7,4,42,0,0,0,0,6.2,6.2
